id,tops,order
0,(ORDER let me (PIZZAORDER prefer (NUMBER a ) (SIZE extra ) large sauteed spinach (TOPPING and ) (TOPPING tomatoes ) pizza (TOPPING without ) any sausage ) ),let me prefer a extra large sauteed spinach and tomatoes pizza without any sausage
1,(ORDER (PIZZAORDER could you give me (NUMBER a ) exta large (SIZE pizza ) with roasted (TOPPING red ) peppers and more (TOPPING cheese ) but no (NOT (TOPPING sausage ) ) ) ),could you give me a exta large pizza with roasted red peppers and more cheese but no sausage
2,(ORDER (PIZZAORDER can you handle this order (NUMBER a ) pizza make it etra large (SIZE please ) i want new (STYLE york ) style tomato (TOPPING sauce ) (TOPPING but ) absolutely no onions (NOT (TOPPING that's ) important that's all ) ) ),can you handle this order a pizza make it etra large please i want new york style tomato sauce but absolutely no onions that's important that's all
3,(ORDER let me try (PIZZAORDER (NUMBER 5 ) lnch pizzas with garlic (TOPPING onions ) (TOPPING and ) pesto ) ),let me try 5 lnch pizzas with garlic onions and pesto
4,(ORDER i need (PIZZAORDER you to order me (NUMBER a ) pie in med size along with (TOPPING pesto ) (TOPPING pan ) and (TOPPING ham ) ) ),i need you to order me a pie in med size along with pesto pan and ham
5,(ORDER i'd ry (PIZZAORDER a large-size pie (SIZE with ) gilled chicken and please add (TOPPING some ) a tiny bit of cheese (STYLE and ) (STYLE some ) (STYLE ham ) (TOPPING thanks ) ) ),i'd ry a large-size pie with gilled chicken and please add some a tiny bit of cheese and some ham thanks
6,(ORDER (PIZZAORDER let's put i for a med (NUMBER peto ) sauce and ham pizza (TOPPING with ) a large (NUMBER iced ) (SIZE tea ) (DRINKTYPE bottle ) ) ),let's put i for a med peto sauce and ham pizza with a large iced tea bottle
7,(ORDER fetch me (PIZZAORDER (NUMBER three ) (SIZE extra ) large (TOPPING chard ) pizza and (NUMBER three ) (CONTAINERTYPE can ) of (DRINKTYPE Juice ) boxes ) ),fetch me three extra large chard pizza and three can of Juice boxes
8,(ORDER (PIZZAORDER i'l go for a total (NUMBER of ) one med (SIZE shrimp ) (STYLE pizza ) and one small (NUMBER pizza ) (SIZE with ) a litle bit (STYLE kimchi ) ) ),i'l go for a total of one med shrimp pizza and one small pizza with a litle bit kimchi
9,(ORDER i prefer (PIZZAORDER to have (NUMBER eleven ) pizzas with a lot (STYLE f ) (TOPPING meatbll ) (TOPPING and ) green (TOPPING peppers ) ) ),i prefer to have eleven pizzas with a lot f meatbll and green peppers
10,(ORDER i'll just (PIZZAORDER take (SIZE five ) pizzas ) ),i'll just take five pizzas
