id,output
0,(ORDER let me (PIZZAORDER prefer (NUMBER a ) (SIZE extra ) large sauteed spinach (TOPPING and ) tomatoes (TOPPING pizza ) without any sausage ) )
1,(ORDER (PIZZAORDER could you give me (NUMBER a ) exta large (QUANTITY pizza ) with roasted red peppers and (TOPPING more ) cheese but no sausage ) )
2,(ORDER (PIZZAORDER can you (NUMBER handle ) this order (NUMBER a ) pizza make (TOPPING it ) etra (QUANTITY large ) (QUANTITY please ) (TOPPING i ) want new (QUANTITY york ) (TOPPING style ) tomato sauce but absolutely no onions that's important that's all ) )
3,(ORDER let me try (PIZZAORDER 5 lnch pizzas (TOPPING with ) garlic onions (TOPPING and ) pesto ) )
4,(ORDER i need (PIZZAORDER (NUMBER you ) to order me (TOPPING a ) pie in (QUANTITY med ) size along with (TOPPING pesto ) pan and ham ) )
5,(ORDER i'd ry (PIZZAORDER a (NUMBER large-size ) (SIZE pie ) with gilled chicken and please (TOPPING add ) some a (NUMBER tiny ) bit of (QUANTITY cheese ) and some (TOPPING ham ) thanks ) )
6,(ORDER (PIZZAORDER let's put (TOPPING i ) for a med (TOPPING peto ) sauce and ham (NUMBER pizza ) (DRINKTYPE with ) a (NUMBER large ) (SIZE iced ) (DRINKTYPE tea bottle ) ) )
7,(ORDER fetch me (PIZZAORDER (NUMBER three ) (SIZE extra ) large (STYLE chard ) pizza and (NUMBER three ) can of (DRINKTYPE Juice ) boxes ) )
8,(ORDER (PIZZAORDER i'l go for (NUMBER a ) total of (QUANTITY one ) med shrimp (TOPPING pizza ) and one (QUANTITY small ) pizza with a litle (QUANTITY bit ) kimchi ) )
9,(ORDER i prefer (PIZZAORDER to (NUMBER have ) eleven pizzas (QUANTITY with ) a lot (TOPPING f ) meatbll and (TOPPING green ) peppers ) )
10,(ORDER i'll just (PIZZAORDER (NUMBER take ) (SIZE five ) pizzas ) )
11,(ORDER i (PIZZAORDER would (NUMBER like ) (TOPPING to ) have (NUMBER a ) meium pie (TOPPING including ) black olves and (TOPPING olives ) but no (NOT (TOPPING pepperoni ) ) ) )
12,(ORDER i'm going (PIZZAORDER (NUMBER to ) go with eleen lunch pizzas i (TOPPING want ) capers (NUMBER on ) all of them (TOPPING as ) (TOPPING well ) as ham thanks ) )
13,(ORDER i'd like to (PIZZAORDER et (TOPPING a ) extra (NUMBER large ) (SIZE pizza ) added jalepeno peppers (TOPPING and ) jalapenos ham ) )
