order,output
0,(ORDER let me (PIZZAORDER prefer (NUMBER a ) (SIZE extra ) large sauted spinach (TOPPING and ) tomatoes (TOPPING pizza ) without any sausage ) )
1,(ORDER (PIZZAORDER could you give me (NUMBER a ) (SIZE extra ) large pizza with (TOPPING roasted ) (TOPPING red ) peppers and (TOPPING more ) (TOPPING cheese ) but no (NOT (TOPPING sausage ) ) ) )
2,(ORDER (PIZZAORDER can you handle this order (NUMBER a ) pizza make it (SIZE extra ) large please i want (STYLE new ) york style (TOPPING tomato ) (TOPPING sauce ) but absolutely no (NOT (TOPPING onions ) that's important that's all ) ) )
3,(ORDER let me (PIZZAORDER try (NUMBER 5 ) (SIZE lunch ) pizzas with (TOPPING garlic ) (TOPPING onions ) and (TOPPING pesto ) ) )
4,(ORDER i need (PIZZAORDER you to order me (NUMBER a ) pie in me (SIZE size ) along with (TOPPING pesto ) (TOPPING pan ) and (TOPPING ham ) ) )
5,(ORDER i'd ry (PIZZAORDER a large-size pie (SIZE with ) gilled chicken and please add (TOPPING some ) a tiny bit of cheese (STYLE and ) (STYLE some ) (STYLE ham ) (TOPPING thanks ) ) )
6,(ORDER (PIZZAORDER let's put i for a me (NUMBER pet ) sauce and (TOPPING ham ) pizza (TOPPING with ) a large (NUMBER iced ) (SIZE tea ) (DRINKTYPE bottle ) ) )
7,(ORDER fetch me (PIZZAORDER (NUMBER three ) (SIZE extra ) large (TOPPING chard ) pizza and (NUMBER three ) (CONTAINERTYPE can ) of (DRINKTYPE Juice ) boxes ) )
8,(ORDER i'm go (PIZZAORDER for a total (NUMBER of ) one me (NUMBER shrimp ) pizza and one small (NUMBER pizza ) (SIZE with ) a little (STYLE bit ) (STYLE kimchi ) ) )
9,(ORDER i prefer (PIZZAORDER to have (NUMBER eleven ) pizzas with a lot (TOPPING f ) (TOPPING meatball ) and (TOPPING green ) peppers ) )
10,(ORDER i'll just (PIZZAORDER take (SIZE five ) pizzas ) )
11,(ORDER i would like to have (PIZZAORDER (NUMBER a ) (SIZE medium ) pie including (TOPPING black ) (TOPPING loves ) and (TOPPING olives ) but no (NOT (TOPPING pepperoni ) ) ) )
12,(ORDER i'm going (PIZZAORDER to go with eleven lunch (NUMBER pizzas ) (SIZE i ) want capers on all of them as well as ham thanks ) )
13,(ORDER i'd like to (PIZZAORDER et a extra (NUMBER large ) (SIZE pizza ) added jalapeño peppers (TOPPING and ) (TOPPING jalapeños ) ham ) )
14,(ORDER (PIZZAORDER please arrange (TOPPING to ) get thirteen (TOPPING green ) olives pizzas now ) )
